base	number	description	note	description_fin	note_fin	link_original	link_wordnet	backtrack	synset_id	import_id
johtaa	1	Lead, be in charge	(tags: seed:vetää)	Johtaa (olla vetovastuussa)	(tags: seed:vetää)	NULL	NULL	NULL	666	17197e5
johtaa	2	Lead to something, cause something	Note: not in sync with lead.03, the arg1 of that should not be possible in Finnish	Johtaa johonkin, aiheuttaa	Huom! Ei synkr. lead.03:n kanssa, sen arg1:n ei pitäisi olla mahdollinen suomessa	NULL	NULL	NULL	02492017	8a3bb3
johtaa	3	Lead someone/something somewhere	Note: not in sync with lead.01, added arg2 for Finnish	Johtaa joku/jokin jonnekin	Huom! Ei synkr. lead.01:n kanssa, suom. versioon lisätty arg2 (tags: seed:johtaa)	NULL	NULL	NULL	02566497	4afd2b3
johtaa	4	Derive	(tags: model:derive.01)	Johtaa, muodostaa	NULL	NULL	NULL	NULL	00903234	3290d35
johtua	1	Arise, stem, result from something	(tags: seed:johtua, model:arise.01)	Olla seurauksena, aiheutua jostakin	NULL	arise.01	NULL	NULL	02490772	34078a9
jolkotella	1	Move fast on foot	Note: not in sync with any sense of "run", there is no basic "agent runs from place a to place b" sense available (tags: seed:juosta)	Liikkua nopeasti jalan	Huom! Ei synkr. minkään "run"-sanan sensen kanssa, ei tarjolla perussenseä tyyliin "agentti juoksee paikasta a paikkaan b"	none.01	NULL	NULL	01843150,01832547	34827af
jomottaa	1	Feel physical pain, be the source of pain, give trouble	Note:not in sync with hurt.02, arg2 in Finnish	Tuntea kipua, aiheuttaa kipua	Huom. Ei synkr. hurt.02:n kanssa, suomessa arg2	NULL	NULL	1478	NULL	NULL
jonottaa	1	Queue, stand in line	NULL	Jonottaa, seisoa jonossa	NULL	NULL	NULL	NULL	NULL	NULL
joogata	1	Do yoga	NULL	Joogata, tehdä joogaharjoituksia	NULL	NULL	NULL	NULL	NULL	NULL
joustaa	1	be flexible (, bend rules)	NULL	luopua periaatteistaan, oikeuksistaan tai ajastaan	NULL	NULL	NULL	NULL	NULL	NULL
joutua	1	End up	(tags: model:end.03, seed:päätyä)	Päätyä, ajautua	None	NULL	NULL	1425	NULL	428eb83
joutua	2	Hurry, act at a high speed	(tags: seed:joutua)	Kiirehtiä, toimia nopeasti	NULL	NULL	NULL	NULL	NULL	4505fd9
juhlia	1	Celebrate something	(tags: model:celebrate.02, seed:viettää)	Viettää, juhlia	(tags: model:celebrate.02, seed:viettää)	NULL	NULL	NULL	02436483	2caffff
juhlistaa	1	Celebrate something	(tags: model:celebrate.02, seed:viettää)	Viettää, juhlia	(tags: model:celebrate.02, seed:viettää)	NULL	NULL	119	NULL	NULL
julistaa	1	Declare to be, state or announce	NULL	Ilmoittaa, todeta, julistaa	NULL	NULL	NULL	NULL	00922303, 00788190, 00932962	53e7c65
julistautua	1	Proclaim	NULL	Julistautua	NULL	NULL	NULL	NULL	NULL	NULL
julkaista	1	Make something public	(tags: model:publish.01, seed:julkistaa)	Tehdä jotakin julkiseksi	(tags: model:publish.01, seed:julkistaa)	publish.01	NULL	NULL	02358590	2588fc2
julkistaa	1	Make something public	(tags: model:publish.01, seed:julkistaa)	Tehdä jotakin julkiseksi	(tags: model:publish.01, seed:julkistaa)	publish.01	NULL	NULL	02358590	2588fc2
jumittua	1	Adhere, stick to	Not in sync with adhere.01, no arg0 in Finnish (tags: seed:tarttua)	Tarttua, jäädä kiinni johonkin	Ei synkr. adhere.01:n kanssa, ei arg0:a suomessa	none.01	NULL	NULL	01300697	370cd74
jumiutua	1	Adhere, stick to	Not in sync with adhere.01, no arg0 in Finnish (tags: seed:tarttua)	Tarttua, jäädä kiinni johonkin	Ei synkr. adhere.01:n kanssa, ei arg0:a suomessa	NULL	NULL	NULL	01300697	370cd74
juoda	1	Drink, take in liquids	(tags: model:drink.01, seed:juoda)	Juoda, nauttia nestemäisiä aineita	NULL	NULL	NULL	NULL	01105901, 01106959	571ac
juoksennella	1	Move fast on foot	Note: not in sync with any sense of "run", there is no basic "agent runs from place a to place b" sense available (tags: seed:juosta)	Liikkua nopeasti jalan	Huom! Ei synkr. minkään "run"-sanan sensen kanssa, ei tarjolla perussenseä tyyliin "agentti juoksee paikasta a paikkaan b"	NULL	NULL	1452	NULL	NULL
juontua	1	Arise, stem, result from something	(tags: seed:johtua, model:arise.01)	Olla seurauksena, aiheutua jostakin	NULL	NULL	NULL	NULL	02490772	34078a9
juopua	1	Become intoxicated	Note: not in sync with intoxicate.01, no arg0 in Finnish	Juopua	Huom! Ei synkr. intoxicate.01:n kanssa, suomessa ei arg0:a	NULL	NULL	NULL	NULL	NULL
juoruilla	1	Talk with someone mutually about something	(tags: model:discuss.01)	Puhua jonkun kanssa jostakin vastavuoroisesti	NULL	NULL	NULL	NULL	NULL	NULL
juosta	1	Move fast on foot	Note: not in sync with any sense of "run", there is no basic "agent runs from place a to place b" sense available (tags: seed:juosta)	Liikkua nopeasti jalan	Huom! Ei synkr. minkään "run"-sanan sensen kanssa, ei tarjolla perussenseä tyyliin "agentti juoksee paikasta a paikkaan b"	none.01	NULL	NULL	01843150,01832547	34827af
juosta	2	Move, be in motion	NULL	Olla liikkeessä	NULL	NULL	NULL	NULL	02008655	4159edb
juottaa	1	Cause someone to drink	NULL	Juottaa	NULL	NULL	NULL	NULL	NULL	NULL
jutella	1	Speak	(tags: model:speak.01)	Kertoa sanallisesti	NULL	NULL	NULL	1675	NULL	NULL
jutustella	1	Talk with someone mutually about something	(tags: model:discuss.01)	Puhua jonkun kanssa jostakin vastavuoroisesti	NULL	NULL	NULL	2737	NULL	NULL
juurruttaa	1	Root, cause to have roots	Literal or figurative (tags: model:root.02)	Juurruttaa, saada aikaan juurtuminen	Kirjaimellinen tai kuvainnollinen	root.02	NULL	NULL	NULL	NULL
juuttua	1	Adhere, stick to	Not in sync with adhere.01, no arg0 in Finnish (tags: seed:tarttua)	Tarttua, jäädä kiinni johonkin	Ei synkr. adhere.01:n kanssa, ei arg0:a suomessa	NULL	NULL	NULL	01300697	370cd74
jyristä	1	Thunder	NULL	Jyristä	NULL	NULL	NULL	NULL	NULL	NULL
jyrkentää	1	Steepen, make steeper	Literal or figurative (tags: model:steepen.01)	Jyrkentää, tehdä jyrkemmäksi	Kirjaimellinen tai kuvainnollinen	steepen.01	NULL	NULL	NULL	NULL
jyrähdellä	1	Thunder	NULL	Jyrähdellä, jyrähtää	NULL	NULL	NULL	NULL	NULL	NULL
jyskyttää	1	Strike, beat	(tags: seed:lyödä, model:hit.01)	Lyödä, kumauttaa, rummuttaa	(tags: seed:lyödä, model:hit.01)	hit.01	NULL	NULL	01323437, 01778250	5c46ab2
jähmettyä	1	Freeze, be unable to function	NULL	Jähmettyä, olla kykenemätön tekemään mitään	NULL	NULL	NULL	NULL	NULL	NULL
jäkättää	1	yak	NULL	toistaa samaa asiaa kovaäänisesti	NULL	yak.01	NULL	NULL	NULL	NULL
jäljitellä	1	Imitate	Note: VVB, args 0 and 1 mutually exclusive	Jäljitellä	Huom! VVB, arg:t 0 ja 1 toisensa poissulkevat	NULL	NULL	NULL	NULL	NULL
jälleenmyydä	1	Retail, resell	Not in sync with retail.01 or resell.01, not beneficiary in Finnish	Jälleenmyydä, myydä eteenpäin	Ei synkr. retail.01:n tai resell.01:n kanssa, suomessa ei hyötyjää	none.01	NULL	NULL	NULL	NULL
jämähtää	1	Stand	(tags: seed:seisoa, VVB)	Seisoa	NULL	NULL	NULL	1134	NULL	NULL
jänistää	1	Chicken out, get cold feet (Finnish verb is related to the word "rabbit")	Not sure if the thing chickened out of should be a theme, but going with the model. (tags: model:chicken.01)	Jänistää, perääntyä luvatusta	Ei varmaa, pitäisikö asian, josta jänistetään, olla teema, mutta mennään mallin mukaan.	chicken.01	NULL	NULL	NULL	NULL
jännittyä	1	tense up	NULL	Hermoilla jotakin asiaa	NULL	NULL	NULL	NULL	NULL	NULL
jännittää	1	Cause nervouseness, make someone nervous	NULL	Aiheuttaa jännitystä	NULL	NULL	NULL	NULL	NULL	NULL
järjestellä	1	Organise	NULL	Järjestellä, järjestää	NULL	NULL	NULL	NULL	NULL	NULL
järjestyä	1	Work out, sort itself out	NULL	Tulla kuntoon	NULL	none.01	NULL	NULL	NULL	NULL
järjestyä	2	Form an order, organize	NULL	Asettua järjestykseen	NULL	none.01	NULL	NULL	NULL	NULL
järjestäytyä	1	Organize oneself, form (up)	Note: not in sync with organize.01 or form.01, no separate arg0 and arg1 in Finnish (and really the others are futile too)	Järjestäytyä	Huom! Ei synkr. organize.01:n tai form.01:n kanssa, suomessa ei erikseen arg0 ja arg1 (ja oikeastaan muutkin turhia)	none.01	NULL	NULL	NULL	NULL
järjestää	1	Organize	(tags: model:organize.01)	Saada aikaan joku asia tai tapahtuma	NULL	NULL	NULL	NULL	02327092	2288cc2
järkkyä	1	Shake, waver	NULL	Järkkyä	NULL	NULL	NULL	NULL	NULL	NULL
järkyttyä	1	Be shocked	Note: not in sync with shock.01, no causer in Finnish, so experiencer becomes arg0	Kokea järkytys	Huom! Ei synkr. shock.01:n kanssa, suomessa ei aiheuttajaa, joten kokijasta tulee arg0	none.01	NULL	NULL	NULL	NULL
jättää	1	Leave something somewhere or "as" something, abandon	(tags: model:leave.01)	Jättää jotakin jonnekin tai joksikin, hylätä	(tags: model:leave.01)	leave.01	NULL	NULL	02107292	ffb9
jättää	2	File something, leave in	NULL	Kirjata, jättää käsiteltäväksi	NULL	submit.01	NULL	NULL	00944895	23ccdbd
jättää	3	Not do something, leave something undone	NULL	Olla tekemättä jotakin, jättää jotain tekemättömäksi	NULL	none.01	NULL	NULL	666	5be34c6
jäynätä	1	Trick, play a prank on	Not in sync with trick.01, no arg2 in Finnish	Tehdä jäynää, kepposia	Ei synkr. trick.01:n kanssa, suomessa ei arg2:ta	none.01	NULL	NULL	NULL	NULL
jäädyttää	1	Freeze, cause to be frozen	Literal or figurative (tags: model:freeze.01)	Jäädyttää, saada jäätymään	Kirjaimellinen tai kuvainnollinen	freeze.01	NULL	NULL	NULL	NULL
jäädä	1	Remain, stay	(tags: model:stay.01)	Jäädä jonnekin tai johonkin tilaan	NULL	NULL	NULL	NULL	00111614	41abd1e
jäädä	2	Be undone	NULL	Jäädä tekemättä	NULL	NULL	NULL	NULL	666	17cefdf
jäädä	3	Be caught	(tags: phrasal)	Jäädä kiinni	NULL	NULL	NULL	NULL	NULL	NULL
jäädä	4	Be left with	(tags: phrasal)	Jäädä käteen	NULL	NULL	NULL	NULL	NULL	NULL
jäädä	5	Be passed by someone, not attended/done by someone	(tags: phrasal)	Jäädä väliin joltakulta	NULL	NULL	NULL	NULL	NULL	NULL
jäädä	6	Fall behind	(tags: phrasal)	Jäädä jälkeen	NULL	NULL	NULL	NULL	NULL	NULL
jäähtyä	1	Cool, become colder	NULL	Jäähtyä, kylmentyä	NULL	NULL	NULL	NULL	NULL	NULL
jäätyä	1	Freeze	Note: Not in sync with freeze.01, no arg0 in Finnish	Jäätyä	Huom! Ei synkr. freeze.01:n kanssa, suomessa ei arg0:a.	NULL	NULL	NULL	NULL	NULL
kaadattaa	1	Make, cause to fall	NULL	Kaadattaa	NULL	NULL	NULL	NULL	NULL	NULL
kaahata	1	Speed	NULL	Kaahata	NULL	NULL	NULL	NULL	NULL	NULL
kaapata	1	Seize	tags:model:seize.01	Kaapata	NULL	NULL	NULL	NULL	NULL	NULL
kaarrella	1	Roll, turn	Note: Not in sync with roll.01, args 0 and 1 mutually exclusive in Finnish	Pyöriä, kaarrella	Huom! Ei synkr. roll.01:n kanssa, arg:t 0 ja 1 toisensa poissulkevia suomessa	NULL	NULL	2509	NULL	NULL
kaartua	1	Arch	NULL	Kaartua	NULL	NULL	NULL	NULL	NULL	NULL
kaasutella	1	Drive a vehicle	(tags: VVB)	Ohjata, ajaa autoa	NULL	NULL	NULL	1280	NULL	NULL
kaataa	1	Knock down	Note: not in sync with knock.02, no arg2-arg5 in Finnish. Also figurative, e.g. "Norja kaatoi Saksan numeroin 3-1" ("Norway beat Germany 3-1")!	Kaataa kumoon	Huom! Ei synkr. knock.02:n kanssa, ei arg2-arg5 suomessa. Myös kuvainnollinen, esim. "Norja kaatoi Saksan numeroin 3-1"!	NULL	NULL	NULL	02005844	18cb30c
kaataa	2	Pour	(tags: model:pour.01)	Kaataa jotakin ainetta astiasta	NULL	NULL	NULL	NULL	01774728	2ec2075
kaatua	1	Fall over	NULL	Mennä nurin	NULL	NULL	NULL	NULL	01827434	4c4e600
kaatua	2	Die in war	Note: not in sync with die.01, this one has no arg2	Kuolla sodassa	Huom! Ei synkr. die.01:n kanssa, tässä ei arg2:a	NULL	NULL	NULL	02503943	17e1630
kaavailla	1	Plan, sketch, draft	(tags: model:sketch.01)	Kaavailla, suunnitella, luonnostella	NULL	sketch.01	NULL	NULL	NULL	NULL
kadota	1	Disappear, get lost, become less intense, diminish	(tags:model:disappear.01, seed: kadota)	Hävitä, kadota, muuttua vähemmän intensiiviseksi, pienentyä	NULL	NULL	NULL	NULL	00413416	3853eb6
kadottaa	1	Lose, misplace	NULL	Hukata, kadottaa	NULL	none.01	NULL	2137	NULL	NULL
kahista	1	Rasp	Note: not in sync with rasp.01, no arg0 in Finnish	Rahista, kahista	Huom! Ei synkr. rasp.01:n kanssa, suomessa ei arg0:a	NULL	NULL	2926	NULL	NULL
kahlata	1	Paddle	NULL	Kahlata	NULL	NULL	NULL	NULL	NULL	NULL
kahlehtia	1	Chain, attach with chains	(tags: model:chain.01)	Kahlehtia, yhdistää kahleilla	NULL	chain.01	NULL	NULL	NULL	NULL
kahlita	1	Confine, imprison	(tags: seed:sulkea, model:confine.01)	Vangita, sulkea lukkojen taakse	NULL	NULL	NULL	1118	NULL	NULL
kaihertaa	1	Have negative feelings	NULL	Painaa mieltä	NULL	NULL	NULL	1010	NULL	NULL
kaikua	1	Echo, reverberate	tags:model:reverberate.01	Kaikua	NULL	NULL	NULL	NULL	NULL	NULL
kaivaa	1	Dig something from somewhere	NULL	Kaivaa, ottaa esille	NULL	none.01	NULL	NULL	NULL	NULL
kaivaa	2	Bury	tags:model:bury.01	Haudata	NULL	bury.01	NULL	2793	NULL	NULL
kaivata	1	Need, require, miss	(tags: model:need.01, seed:kaivata)	Tarvita, vaatia, ikävöidä	NULL	none.01	NULL	NULL	01137033	3fcabc1
kaivertaa	1	Engrave, carve something into something	Note: not in sync with engrave.01, arg2 and arg1 the other way around in Finnish (inscription is the patient)	Tehdä kaiverrus	Huom! Ei synkr. engrave.01:n kanssa, arg2 ja arg1 toisin päin suomessa (kaiverrus on patientti)	none.01	NULL	NULL	NULL	NULL
kaivertaa	2	Gnaw at, cause worry	(tags: model:gnaw.02)	Kaihertaa, kaikertaa, aiheuttaa huolta	NULL	gnaw.02	NULL	NULL	NULL	NULL
kakistella	1	Speak when embarrassed	(tags: model:speak.01)	Puhua vaivaantuneesti	NULL	NULL	NULL	NULL	NULL	NULL
kaksinkertaistaa	1	Double	NULL	Kaksinkertaistaa	NULL	none.01	NULL	NULL	NULL	NULL
kaksinkertaistua	1	Become doubled	NULL	Kaksinkertaistua	NULL	NULL	NULL	NULL	NULL	NULL
kalahdella	1	Clank, make clanking noises	(tags: model: clank.01)	Kalahdella, pitää kalahtelevaa ääntä	NULL	clank.01	NULL	NULL	NULL	NULL
kalastaa	1	Go fishing	NULL	Kalastaa, pyytää kaloja	NULL	NULL	NULL	NULL	NULL	NULL
kallistua	1	Become more expensive	NULL	Kallistua	NULL	NULL	NULL	NULL	NULL	NULL
kallistua	2	Heel, yaw	NULL	Kallistua, mennä kallelleen	NULL	NULL	NULL	NULL	NULL	NULL
kalustaa	1	Decorate, furnish	(tags: model: decorate.01)	Sisustaa	NULL	NULL	NULL	3478	NULL	NULL
kalvaa	1	Gnaw	tags:model:gnaw.01	Kalvaa	NULL	NULL	NULL	NULL	NULL	NULL
kalveta	1	Pale	tags:model:pale.01	Kalveta, muuttua kalpeaksi	NULL	NULL	NULL	NULL	NULL	NULL
kammata	1	Comb	tags:model:comb.01	Kammata	NULL	NULL	NULL	NULL	NULL	NULL
kammeta	1	Lever	NULL	Kammeta pystyyn	NULL	none.01	NULL	NULL	NULL	NULL
kampeutua	1	Lever	NULL	Kammeta pystyyn	NULL	NULL	NULL	3783	NULL	NULL
kamppailla	1	Fight, battle with somebody	(tags: model:fight.01, seed:taistella)	Kamppailla	NULL	struggle.01	NULL	NULL	01043397	f19f0e
kanavoida	1	Direct, channel	NULL	Ohjata, kanavoida	NULL	NULL	NULL	2845	NULL	NULL
kangerrella	1	Cause difficulties	NULL	Kangerrella, kangertaa	NULL	NULL	NULL	NULL	NULL	NULL
kannattaa	1	Support someone or something, agree on something	(tags: model:support.01, seed: kannattaa)	Kannattaa, olla samaa mieltä jostain	NULL	support.01	NULL	NULL	02342289, 02321911	5f08d5f
kannattaa	2	Pay off	(tags: model:pay.05)	Kannattaa, olla hyväksi jollekin	NULL	pay.05	NULL	NULL	02581751, 02573327	4ed542e
kannustaa	1	Encourage	(tags: model:encourage.01)	Rohkaista	NULL	NULL	NULL	NULL	01739534,00738719	4a40d44
kansainvälistää	1	Make international in character	NULL	Tehdä jostakin kansainvälinen	NULL	NULL	NULL	NULL	00396165	4e09177
kansallistaa	1	nationalize	NULL	ottaa valtion haltuun	NULL	nationalize.01	NULL	NULL	NULL	NULL
kansantajuistaa	1	Popularize	NULL	Kansantajuistaa, popularisoida	NULL	NULL	NULL	NULL	NULL	NULL
kansoittaa	1	Conquer, occupy	(tags: model:conquer.01, seed:vallata)	Ottaa jotain hallintaansa	(tags: model:conquer.01, seed:vallata)	NULL	NULL	137	NULL	NULL
kantaa	1	Carry, have with oneself (also abstract things)	N.b! Not in sync with carry.01, no real arg3 or arg4 in Finnish	Kantaa, pitää mukanaan (myös abstrakteja asioita)	Huom! Ei synkr. carry.01:n kanssa, suomessa ei oikeaa arg3:a tai arg4:ää	NULL	NULL	NULL	02595444, 02519527	49faf2c
kantaa	2	Collect, levy taxes	(tags: model:levy.01)	Kerätä veroja, tullia	NULL	NULL	NULL	NULL	NULL	28e4686
kantautua	1	Sound, be audible	Note: Not in sync with sound.02, no arg0 in Finnish	Kuulua ääntä	Huom! Ei synkr. sound.02:n kanssa, suomessa ei arg0:a	NULL	NULL	1026	NULL	NULL
kapinoida	1	Rebel	(tags: model:rebel.01, seed:nousta)	Nousta kapinaan	(tags: model:rebel.01, seed:nousta)	NULL	NULL	NULL	02440531	4857ad8
karata	1	Escape, flee	Note: not in sync with flee.01 or escape.01, no separate source and destination in English frames	Paeta, mennä karkuun	Huom! Ei synkr. flee.01:n tai escape.01:n kanssa, engl. versiossa ei erillistä lähtöpaikkaa ja määränpäätä	NULL	NULL	NULL	01985088,01984768	59a4790
karhentaa	1	Roughen	NULL	Karhentaa	NULL	NULL	NULL	NULL	NULL	NULL
karhuta	1	Call for and obtain payment of some kind	(tags: seed:periä, model:collect.01)	Vaatia, kerätä jonkinlaista maksua	NULL	NULL	NULL	NULL	00809825	148462d
karistaa	1	Shed, get rid of	(tags: model:shed.01)	Karistaa, hankkiutua eroon	NULL	shed.01	NULL	NULL	NULL	NULL
kariutua	1	Stop, break down	NULL	Kariutua, pysähtyä	NULL	NULL	NULL	NULL	NULL	NULL
karjaista	1	Yell, speak very loudly	(tags: model:scream.01)	Huutaa, puhua kovaäänisesti	NULL	yell.01	NULL	1055	NULL	NULL
karkottaa	1	deport	NULL	ajaa pois maasta	NULL	NULL	NULL	NULL	NULL	NULL
karsia	1	Qualify, play qualification rounds	NULL	Karsia, pelata karsintaottelu(ita)	NULL	NULL	NULL	NULL	NULL	NULL
karsiutua	1	Be eliminated from something	NULL	Karsiutua pois jostakin	NULL	none.01	NULL	NULL	NULL	NULL
karstata	1	Tease, scribble wool	NULL	Karstata	NULL	NULL	NULL	NULL	NULL	NULL
kartoittaa	1	Map, survey	(tags: model:map.01)	Kartoittaa, selvittää	NULL	map.01	NULL	NULL	NULL	NULL
karttua	1	Accumulate	Note: not in sync with accumulate.01, no arg0 in Finnish	Karttua	Huom! Ei synkr. accumulate.01:n kanssa, suomessa ei arg0:a	NULL	NULL	NULL	NULL	NULL
kasaantua	1	Get piled	Note: not in sync with pile.01, no arg0 in Finnish	Kasautua	Huom! Ei synkr. pile.01:n kanssa, suomessa ei arg0:a	NULL	NULL	3005	NULL	NULL
kasata	1	make a pile	NULL	koota kasaan	NULL	pile.02	NULL	NULL	NULL	NULL
kasautua	1	Get piled	Note: not in sync with pile.01, no arg0 in Finnish	Kasautua	Huom! Ei synkr. pile.01:n kanssa, suomessa ei arg0:a	NULL	NULL	NULL	NULL	NULL
kastaa	1	Baptise	NULL	Kastaa	NULL	NULL	NULL	NULL	NULL	NULL
kastella	1	Pee oneself		Laskea alleen		NULL	NULL	313	NULL	NULL
kastella	2	Water	NULL	Kastella, aiheuttaa kastuminen	NULL	NULL	NULL	NULL	NULL	NULL
kastua	1	Become wet	NULL	Kastua, tulla märäksi	NULL	none.01	NULL	NULL	NULL	NULL
kasvaa	1	Grow	(tags: seed:kasvaa, model:grow.01+)	Kasvaa	NULL	none.01	NULL	NULL	00149634, 00151085, 00412775	474b2ef
kasvaa	2	Become something, develop	(tags: model: grow.02)	Kasvaa joksikin, usein (?) henkisesti, kypsyä	NULL	grow.02	NULL	NULL	00239103	5ca88de
kasvaa	3	Something is growing somewhere	E.g. "pelto kasvaa heinää" ("there is hay growing in the field")	Kasvaa, versoa	Esim. "pelto kasvaa heinää"	none.01	NULL	NULL	00342437	3683020
kasvattaa	1	Raise, educate	(tags: model:raise.03, seed:kasvattaa)	Kasvattaa, kouluttaa	NULL	NULL	NULL	NULL	02427390, 02284391	2628e66
kasvattaa	2	Increase, extend	(tags: model:increase.01, seed:kasvattaa)	Kasvattaa, suurentaa	NULL	NULL	NULL	NULL	00149781	504a004
kasvattaa	3	Grow, farm	(tags: model:grow.03, seed:kasvattaa)	Kasvattaa, viljellä	NULL	NULL	NULL	NULL	01665469	fd2350
kategorisoida	1	Categorize, assign into category	(tags: model:categorize.01)	Kategorisoida, asettaa kategoriaan	NULL	categorize.01	NULL	NULL	NULL	NULL
katkaista	1	Cut off, break	NULL	Katkaista	NULL	none.01	NULL	NULL	NULL	NULL
katketa	1	Break, usually into two	Note: Not in sync with disintegrate.01 or break senses, no arg0 in Finnish	Katketa, usein kahteen osaan	Huom! Ei synkr. disintegrate.01:n eikä break-merkitysten kanssa, suomessa ei arg0:a	NULL	NULL	2168	NULL	NULL
katkoa	1	Cut off, break	NULL	Katkaista	NULL	NULL	NULL	2013	NULL	NULL
katsahtaa	1	Look at something	(tags: model:watch.01, seed:katsella)	Tarkastella jotain silmin	NULL	NULL	NULL	1321	NULL	NULL
katsastaa	1	Look at something	(tags: model:watch.01, seed:katsella)	Tarkastella jotain silmin	NULL	NULL	NULL	1321	NULL	NULL
katsella	1	Look at something	(tags: model:watch.01, seed:katsella)	Tarkastella jotain silmin	NULL	NULL	NULL	NULL	02072292	560b07b
katsoa	1	Look at something	(tags: model:watch.01, seed:katsella)	Tarkastella jotain (silmin)	NULL	NULL	NULL	NULL	02072292	560b07b
katsoa	2	Declare	(tags: model:declare.01)	Julistaa, asettaa	NULL	NULL	NULL	NULL	00788190	5d73019
katsoa	3	Regard, find	(tags: model:regard.01)	Pitää jonakin	NULL	NULL	NULL	NULL	00662251	5c8ae2a
kattaa	1	Cover, be sufficient	Physical covering apparently separate in PB (tags: model:cover.01)	Ulottua, olla riittävä	Fyysinen peittäminen näyttäisi olevan erikseen PB:ssä (tags: model:cover.01)	cover.01	NULL	NULL	02186208	4775970
kattaa	2	Cover physically	(tags: model:cover.02, seed:kattaa)	Peittää fyysisesti, ulottua jonkun yli	(tags: model:cover.02, seed:kattaa)	cover.02	NULL	NULL	01266629	3f4c3af
katua	1	Regret	(tags: model:regret.01)	Katua, tuntea katumusta	NULL	regret.01	NULL	NULL	NULL	NULL
kauhistella	1	Be horrified	NULL	Kauhistella	NULL	NULL	NULL	NULL	NULL	NULL
kauhoa	1	Scoop	Note: not in sync with scoop.01, Finnish also has instrument	Kauhoa, lusikoida	Huom! Ei synkr. scoop.01:n kanssa, suomessa myös väline	none.01	NULL	NULL	NULL	NULL
kaunistaa	1	Make beautiful	NULL	tehdä kauniiksi	NULL	bautify.01	NULL	NULL	NULL	NULL
kaupata	1	Sell, make available	(tags: model: sell.01)	Myydä, asettaa myyntiin	None	NULL	NULL	738	NULL	1bd0b9b
kaupungistua	1	Become urbanised	NULL	Kaupungistua	NULL	NULL	NULL	NULL	NULL	NULL
kavahtaa	1	Rear	NULL	Kavahtaa pystyyn	NULL	NULL	NULL	NULL	NULL	NULL
kavaltaa	1	Embezzle	tags:model:embezzle.01	Kavaltaa	NULL	NULL	NULL	NULL	NULL	NULL
kaventua	1	Narrow, become narrower	Note: not in sync with narrow.01, no arg0 in Finnish	Kaventua, tulla kapeammaksi	Huom! Ei synkr. narrow.01:n kanssa, ei arg0:a suomessa	none.01	NULL	NULL	NULL	NULL
kehaista	1	Praise	(tags: model:praise.01)	Ylistää, kehua paljon	NULL	NULL	NULL	2490	NULL	NULL
kehdata	1	Dare, have the courage to do something	synset 02432196, 02272417\nN.b. Not in sync with dare.01, different arg0	Uskaltaa tehdä jotakin, juljeta	Huom! Ei synkr. dare.01:n kanssa, eri arg0	None.01	NULL	NULL	NULL	NULL
kehitellä	1	Develop, create	(tags: model:develop.02, seed:kehittää)	Kehittää, kehitellä, luoda uutta	(tags: model:develop.02, seed:kehittää)	NULL	NULL	NULL	01644392	1163648
kehittyä	1	Become something, develop	(tags: model: grow.02)	Kasvaa joksikin, usein (?) henkisesti, kypsyä	NULL	NULL	NULL	NULL	00239103	5ca88de
kehittää	2	Develop, create	(tags: model:develop.02, seed:kehittää)	Kehittää, kehitellä, luoda uutta	(tags: model:develop.02, seed:kehittää)	develop.02	NULL	NULL	01644392	1163648
kehittää	3	Develop in chess, use Development-opening	E.g. "3.Rf3 kehittää ratsun peliin" ("3.Rf3 develops the knight to the game")	Kehittää shakissa, käyttää Kehitys-aloitusta	Esim. "3.Rf3 kehittää ratsun peliin"	none.01	NULL	NULL	01013354	2eed1b9
kehottaa	1	Suggest, advise, push for something	(tags: seed:kehottaa, model:suggest.01)	Ehdottaa, neuvoa, ohjata johonkin	NULL	NULL	NULL	NULL	00837679, 00734193	2cd32f5
kehua	1	Praise, commend	(tags: model:praise.01)	Kehua, antaa kehuja	NULL	praise.01	NULL	NULL	NULL	NULL
keikahtaa	1	Sway		Keikkua, keikahtaa		NULL	NULL	2820	NULL	NULL
keikauttaa	1	Swing	NULL	Keikauttaa, keinauttaa, keinuttaa	NULL	NULL	NULL	NULL	NULL	NULL
keikkailla	1	Do gigs	NULL	Tehdä keikkoja	NULL	none.01	NULL	NULL	NULL	NULL
keikkua	1	Sway		Keikkua		NULL	NULL	NULL	NULL	NULL
keikuttaa	1	Swing, rock	(tags:model:swing.02)	Keinuttaa, keikuttaa	NULL	rock.01	NULL	3965	NULL	NULL
keinua	1	Swing	NULL	Keinua	NULL	NULL	NULL	NULL	NULL	NULL
keinuttaa	1	Swing	(tags:model:swing.02)	Keinuttaa	NULL	NULL	NULL	NULL	NULL	NULL
keittää	1	Cook (by heating)	(tags: seed:keittää, model:cook.01)	Kypsentää (lämmöllä)	NULL	NULL	NULL	NULL	00314673	17d7047
keksiä	1	Invent, come up with an idea	(tags: model: invent.01)	Keksiä uusi asia, saada päähänsä joku idea	NULL	NULL	NULL	NULL	01565349	2f1f0e
kelata	1	Think something, ponder	(tags: seed:miettiä, model:ponder.01, colloquial)	Ajatella jotain, tuumailla		NULL	NULL	846	NULL	NULL
kelata	2	Reel, e.g. in fishing	NULL	Kelata, esim. kalastuksessa	NULL	NULL	NULL	NULL	NULL	NULL
